Rk,Player,Pos,Age,Team,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,key
217,Keaton Wallace,PG,26,ATL,3,15,12.1,.338,.375,.250,0.0,25.2,11.6,31.9,3.3,0.0,0.0,26.3,,0.0,0.0,0.0,-0.077,,-4.2,0.6,-3.6,0.0,keaton wallace
218,Jordan Walsh,PF,21,BOS,7,89,7.5,.277,.632,.316,7.2,15.1,11.0,10.5,2.3,2.1,0.0,10.8,,-0.1,0.1,0.1,.039,,-3.9,1.6,-2.2,0.0,jordan walsh
219,Ja'Kobe Walter,SG,21,TOR,7,224,11.0,.540,.776,.179,1.0,10.4,5.6,6.2,3.1,1.0,5.2,14.6,,0.2,0.2,0.4,.080,,-1.9,2.1,0.2,0.1,jakobe walter
220,Lindy Waters III,SG,28,SAS,9,34,18.5,.577,.615,.000,9.9,9.2,9.5,18.4,2.9,0.0,7.1,17.8,,0.1,0.1,0.1,.193,,1.7,1.5,3.2,0.0,lindy waters
221,Trendon Watford,PF,25,PHI,7,40,19.7,.689,.091,.727,0.0,8.7,4.3,12.5,3.8,0.0,12.1,18.9,,0.1,0.0,0.1,.135,,2.5,1.8,4.3,0.1,trendon watford
222,Victor Wembanyama,C,22,SAS,22,750,26.3,.606,.314,.433,8.2,25.5,17.2,13.5,1.4,9.3,12.0,28.2,,1.9,1.8,3.7,.236,,5.2,3.7,8.9,2.0,victor wembanyama
223,Blake Wesley,SG,22,POR,4,5,-5.6,.568,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,16.2,,0.0,0.0,0.0,-0.274,,-11.2,-5.8,-16.9,0.0,blake wesley
224,Derrick White,SG,31,BOS,7,251,9.1,.450,.679,.160,4.2,5.8,5.0,12.7,1.2,3.7,11.3,17.2,,-0.1,0.3,0.2,.035,,-1.8,0.2,-1.6,0.0,derrick white
225,Aaron Wiggins,SG,27,OKC,13,75,2.7,.380,.360,.000,1.6,6.0,3.9,9.1,0.7,1.3,13.8,16.9,,-0.2,0.0,-0.1,-0.095,,-5.2,-0.8,-6.0,-0.1,aaron wiggins
226,Amari Williams,PF,24,BOS,1,2,11.8,.266,.000,2.000,53.3,0.0,27.3,0.0,0.0,0.0,0.0,41.6,,0.0,0.0,0.0,-0.143,,0.8,-17.8,-17.0,0.0,amari williams
